Sharing Economy Firm,Incumbent Firms,Ticker,Exchange,CI,Market Index,ISF,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),SP_End(t=1),SP_End(t=12),SP_End(t=24),SP_End(t=3),SP_End(t=36),SP_End(t=6),SP_Start(t=1),SP_Start(t=12),SP_Start(t=24),SP_Start(t=3),SP_Start(t=36),SP_Start(t=6),Volume_End(t=1),Volume_End(t=12),Volume_End(t=24),Volume_End(t=3),Volume_End(t=36),Volume_End(t=6),Volume_Start(t=1),Volume_Start(t=12),Volume_Start(t=24),Volume_Start(t=3),Volume_Start(t=36),Volume_Start(t=6),S&P500_End(t=1),S&P500_End(t=12),S&P500_End(t=24),S&P500_End(t=3),S&P500_End(t=36),S&P500_End(t=6),S&P500_Start(t=1),S&P500_Start(t=12),S&P500_Start(t=24),S&P500_Start(t=3),S&P500_Start(t=36),S&P500_Start(t=6),% Change in Share Price (t=1),% Change in Share Price (t=3),% Change in Share Price (t=6),% Change in Share Price (t=12),% Change in Share Price (t=24),% Change in Share Price (t=36),% Change in Volume (t=1),% Change in Volume (t=3),% Change in Volume (t=6),% Change in Volume (t=12),% Change in Volume (t=24),% Change in Volume (t=36),% Change in S&P500 (t=1),% Change in S&P500 (t=3),% Change in S&P500 (t=6),% Change in S&P500 (t=12),% Change in S&P500 (t=24),% Change in S&P500 (t=36),NASDAQ,NYSE,Other,Sharing Firm Introduced,Relatedness with Sharing Firm
Facebook,Gartner,IT,NYSE,0,NYA,0,2/29/04,2/29/04,2/29/04,2/29/04,2/29/04,2/29/04,11.3,11.3,11.3,11.3,11.3,11.3,11.25,7.32,11.81,12.92,8.5,10.48,189200,189200,189200,189200,189200,189200,480400,663700,146000,111400,281000,178000,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1134.12,841.15,1106.73,1058.2,1239.94,1008.01,0.444444444,-12.53869969,7.824427481,54.3715847,-4.318374259,32.94117647,-60.61615321,69.83842011,6.292134831,-71.49314449,29.5890411,-32.66903915,0.954043664,8.196938197,13.58419063,36.11603162,3.45251326,-7.661661048,0,1,0,No,Less Closely Related
Facebook,Gartner,IT,NYSE,0,NYA,1,3/29/04,2/28/05,2/28/06,5/29/04,2/28/07,8/29/04,11.7,9.63,14.08,12.25,21.16,12.09,11.3,11.3,11.3,11.3,11.3,11.3,483400,322000,364900,502200,677900,263900,189200,189200,189200,189200,189200,189200,1122.47,1203.6,1280.66,1120.68,1406.82,1107.77,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,3.539823009,8.407079646,6.991150442,-14.77876106,24.60176991,87.25663717,155.4968288,165.4334038,39.4820296,70.19027484,92.86469345,258.2980973,-1.962548256,-2.118888326,-3.24645833,5.123412581,11.85389627,22.8728143,0,1,0,Yes,Less Closely Related
Fiverr,Wipro,WIT,NYSE,1,NYA,0,2/1/10,2/1/10,2/1/10,2/1/10,2/1/10,2/1/10,4.2122,4.2122,4.2122,4.2122,4.2122,4.2122,4.469,1.3927,2.5365,3.4416,3.4717,2.9138,4203718,4203718,4203718,4203718,4203718,4203718,859272,3351925,4024842,7104472,1969346,2496755,1089.19,1089.19,1089.19,1089.19,1089.19,1089.19,1115.1,825.88,1395.42,1036.2,1445.94,987.48,-5.746251958,22.39074849,44.5603679,202.4484814,66.06347329,21.32960797,389.2185478,-40.82997301,68.3672607,25.41205427,4.444298683,113.4575641,-2.323558425,5.11387763,10.29995544,31.88235579,-21.94536412,-24.67253136,0,1,0,No,Closely Related
Fiverr,Wipro,WIT,NYSE,1,NYA,1,3/1/10,2/1/11,2/1/12,5/1/10,2/1/13,8/1/10,4.4891,4.4383,3.6824,4.5072,3.1941,4.5487,4.2122,4.2122,4.2122,4.2122,4.2122,4.2122,2602637,3635130,2159131,2111845,864816,1189582,4203718,4203718,4203718,4203718,4203718,4203718,1115.71,1307.59,1324.09,1186.69,1513.17,1101.6,1089.19,1089.19,1089.19,1089.19,1089.19,1089.19,6.57376193,7.003466122,7.988699492,5.367741323,-12.57775034,-24.17026732,-38.0872599,-49.76244838,-71.70166981,-13.52583594,-48.63758701,-79.42735455,2.434836897,8.951606239,1.139378804,20.05159798,21.56648519,38.9261745,0,1,0,Yes,Closely Related
Fiverr,Methanex Corporation,MEOH,NASDAQ,0,IXIC,0,2/1/10,2/1/10,2/1/10,2/1/10,2/1/10,2/1/10,23.28,23.28,23.28,23.28,23.28,23.28,19.49,7.77,25.65,17.15,26.89,16.42,505970,505970,505970,505970,505970,505970,100840,1417019,572480,456283,775362,709708,1089.19,1089.19,1089.19,1089.19,1089.19,1089.19,1115.1,825.88,1395.42,1036.2,1445.94,987.48,19.44586968,35.74344023,41.77831912,199.6138996,-9.239766082,-13.42506508,401.7552559,10.88951374,-28.70729934,-64.29335104,-11.61787311,-34.74402924,-2.323558425,5.11387763,10.29995544,31.88235579,-21.94536412,-24.67253136,1,0,0,No,Less Closely Related
Fiverr,Methanex Corporation,MEOH,NASDAQ,0,IXIC,1,3/1/10,2/1/11,2/1/12,5/1/10,2/1/13,8/1/10,24.8,28.52,28.05,23.18,35.02,22.43,23.28,23.28,23.28,23.28,23.28,23.28,361137,1258679,383290,710771,673960,359939,505970,505970,505970,505970,505970,505970,1115.71,1307.59,1324.09,1186.69,1513.17,1101.6,1089.19,1089.19,1089.19,1089.19,1089.19,1089.19,6.529209622,-0.429553265,-3.651202749,22.50859107,20.48969072,50.42955326,-28.62481965,40.47690575,-28.86159258,148.7655395,-24.24649683,33.20157322,2.434836897,8.951606239,1.139378804,20.05159798,21.56648519,38.9261745,1,0,0,Yes,Less Closely Related
Flipkey,InterContinental Hotels Group PLC,IHG,NYSE,1,NYA,0,12/31/07,12/31/07,12/31/07,12/31/07,12/31/07,12/31/07,26.6451,26.6451,26.6451,26.6451,26.6451,26.6451,29.3709,46.0702,30.1313,30.4122,35.8846,37.9463,63670,63670,63670,63670,63670,63670,60101,48614,336,359949,12485,33304,1468.36,1468.36,1468.36,1468.36,1468.36,1468.36,1481.14,1418.3,1248.29,1526.75,1211.92,1503.35,-9.280614486,-12.3868053,-29.78208679,-42.16413213,-11.57002851,-25.74781383,5.938337132,-82.311383,91.17823685,30.97050232,18849.40476,409.9719664,-0.862848887,-3.82446373,-2.327468653,3.529577663,17.62971745,21.15981253,0,1,0,No,Closely Related
Flipkey,InterContinental Hotels Group PLC,IHG,NYSE,1,NYA,1,1/31/08,12/31/08,12/31/09,3/31/08,12/31/10,6/30/08,23.6897,12.8172,22.0052,23.1231,30.2131,20.4126,26.6451,26.6451,26.6451,26.6451,26.6451,26.6451,128516,126281,33124,27297,72113,38710,63670,63670,63670,63670,63670,63670,1378.55,903.25,1115.1,1322.7,1257.64,1280,1468.36,1468.36,1468.36,1468.36,1468.36,1468.36,-11.09172043,-13.21819021,-23.3907923,-51.89659637,-17.41370834,13.39082983,101.8470237,-57.12737553,-39.20213601,98.3367363,-47.97549866,13.26056227,-6.11634749,-9.919910649,-12.82791686,-38.48579367,-24.05813288,-14.35070419,0,1,0,Yes,Closely Related
Flipkey,Tenet Healthcare Corp,THC,NYSE,0,NYA,0,12/31/07,12/31/07,12/31/07,12/31/07,12/31/07,12/31/07,20.32,20.32,20.32,20.32,20.32,20.32,22.04,27.88,30.64,13.44,43.92,26.04,828517,828517,828517,828517,828517,828517,4844490,722625,1130075,2984050,808700,1869976,1468.36,1468.36,1468.36,1468.36,1468.36,1468.36,1481.14,1418.3,1248.29,1526.75,1211.92,1503.35,-7.80399274,51.19047619,-21.96620584,-27.11621234,-33.68146214,-53.73406193,-82.89774569,-72.23515022,-55.69370944,14.65379692,-26.68477756,2.450476073,-0.862848887,-3.82446373,-2.327468653,3.529577663,17.62971745,21.15981253,0,1,0,No,Less Closely Related
Flipkey,Tenet Healthcare Corp,THC,NYSE,0,NYA,1,1/31/08,12/31/08,12/31/09,3/31/08,12/31/10,6/30/08,17.6,4.6,21.56,22.64,26.76,22.24,20.32,20.32,20.32,20.32,20.32,20.32,2967704,1541635,2284687,1760408,1121198,1519795,828517,828517,828517,828517,828517,828517,1378.55,903.25,1115.1,1322.7,1257.64,1280,1468.36,1468.36,1468.36,1468.36,1468.36,1468.36,-13.38582677,11.41732283,9.448818898,-77.36220472,6.102362205,31.69291339,258.1947021,112.476992,83.4355843,86.07161953,175.7562005,35.32588951,-6.11634749,-9.919910649,-12.82791686,-38.48579367,-24.05813288,-14.35070419,0,1,0,Yes,Less Closely Related
Freelancer,Cognizant,CTSH,NASDAQ,1,IXIC,0,12/31/09,12/31/09,12/31/09,12/31/09,12/31/09,12/31/09,22.665,22.665,22.665,22.665,22.665,22.665,21.965,9.03,16.97,19.33,19.29,13.35,2778826,2778826,2778826,2778826,2778826,2778826,6591410,5732646,4900122,8266012,2929368,9694126,1115.1,1115.1,1115.1,1115.1,1115.1,1115.1,1095.63,903.25,1468.36,1057.08,1418.3,919.32,3.186888231,17.25297465,69.7752809,150.9966777,33.55922216,17.49611198,-57.8417061,-66.38250707,-71.33495067,-51.52629344,-43.29067725,-5.139060712,1.777059774,5.488704734,21.29617543,23.45419319,-24.05813288,-21.3777057,1,0,0,No,Closely Related
Freelancer,Cognizant,CTSH,NASDAQ,1,IXIC,1,1/31/10,12/31/10,12/31/11,3/31/10,12/31/12,6/30/10,21.83,36.645,32.155,25.49,36.9412,25.03,22.665,22.665,22.665,22.665,22.665,22.665,8996556,2594060,3196688,4508848,4402828,8839682,2778826,2778826,2778826,2778826,2778826,2778826,1073.87,1257.64,1257.61,1169.43,1426.19,1030.71,1115.1,1115.1,1115.1,1115.1,1115.1,1115.1,-3.684094419,12.46415178,10.43459078,61.68100596,41.87072579,62.98786675,223.7538442,62.25729859,218.1085106,-6.649066908,15.0373575,58.44201832,-3.69742624,4.872208771,-7.567931127,12.78271007,12.78001973,27.89794637,1,0,0,Yes,Closely Related
Freelancer,Vector Group Ltd,VGR,NYSE,0,NYA,0,12/31/09,12/31/09,12/31/09,12/31/09,12/31/09,12/31/09,8.5948,8.5948,8.5948,8.5948,8.5948,8.5948,8.5395,7.9633,11.1702,9.5648,9.4132,8.3551,364284,364284,364284,364284,364284,364284,941842,313497,424808,353029,763311,452552,1115.1,1115.1,1115.1,1115.1,1115.1,1115.1,1095.63,903.25,1468.36,1057.08,1418.3,919.32,0.647578898,-10.14135162,2.868906416,7.930129469,-23.05598825,-8.694174138,-61.32217506,3.188123355,-19.50449893,16.20015503,-14.24737764,-52.27580894,1.777059774,5.488704734,21.29617543,23.45419319,-24.05813288,-21.3777057,0,1,0,No,Less Closely Related
Freelancer,Vector Group Ltd,VGR,NYSE,0,NYA,1,1/31/10,12/31/10,12/31/11,3/31/10,12/31/12,6/30/10,8.5886,11.1646,12.0207,9.4727,10.5678,10.326,8.5948,8.5948,8.5948,8.5948,8.5948,8.5948,1303966,421342,450018,521447,1090326,294647,364284,364284,364284,364284,364284,364284,1073.87,1257.64,1257.61,1169.43,1426.19,1030.71,1115.1,1115.1,1115.1,1115.1,1115.1,1115.1,-0.072136641,10.21431563,20.14241169,29.8994741,39.860148,22.95574068,257.9531355,43.14298734,-19.11612917,15.6630541,23.53493428,199.306585,-3.69742624,4.872208771,-7.567931127,12.78271007,12.78001973,27.89794637,0,1,0,Yes,Less Closely Related
Getaround,Ford,F,NYSE,1,NYA,0,9/30/09,9/30/09,9/30/09,9/30/09,9/30/09,9/30/09,7.21,7.21,7.21,7.21,7.21,7.21,7.73,5.2,8.49,6.07,8.09,2.76,95959520,95959520,95959520,95959520,95959520,95959520,44250360,43001372,45247940,85531304,29358700,63985224,1057.08,1057.08,1057.08,1057.08,1057.08,1057.08,1028.93,1166.36,1526.75,919.32,1335.85,787.53,-6.727037516,18.78088962,161.2318841,38.65384615,-15.07656066,-10.8776267,116.8559081,12.19227992,49.97137464,123.1545542,112.0748922,226.8520745,2.735851807,14.9849889,34.22726753,-9.369319936,-30.76273129,-20.86836097,0,1,0,No,Closely Related
Getaround,Ford,F,NYSE,1,NYA,1,10/30/09,9/30/10,9/30/11,12/30/09,9/30/12,3/30/10,7,12.24,9.67,9.99,9.86,13.28,7.21,7.21,7.21,7.21,7.21,7.21,95737432,42679588,56819920,46699552,44594152,142055136,95959520,95959520,95959520,95959520,95959520,95959520,1036.2,1141.2,1131.42,1126.42,1440.67,1173.27,1057.08,1057.08,1057.08,1057.08,1057.08,1057.08,-2.912621359,38.55755895,84.18862691,69.76421637,34.11927878,36.75450763,-0.231439257,-51.33411255,48.03652207,-55.52334151,-40.78761544,-53.52816271,-1.975252583,6.559579218,10.9915995,7.957770462,7.032580316,36.28769819,0,1,0,Yes,Closely Related
Getaround,Materion Corp,MTRN,NYSE,0,NYA,0,9/30/09,9/30/09,9/30/09,9/30/09,9/30/09,9/30/09,24.46,24.46,24.46,24.46,24.46,24.46,22.74,18.57,51.89,16.75,24.87,13.4,169640,169640,169640,169640,169640,169640,82075,260957,172300,130709,363900,370692,1057.08,1057.08,1057.08,1057.08,1057.08,1057.08,1028.93,1166.36,1526.75,919.32,1335.85,787.53,7.563764292,46.02985075,82.53731343,31.71782445,-52.86182309,-1.648572577,106.689004,29.78448309,-54.23694064,-34.99312147,-1.54381892,-53.38279747,2.735851807,14.9849889,34.22726753,-9.369319936,-30.76273129,-20.86836097,0,1,0,No,Less Closely Related
Getaround,Materion Corp,MTRN,NYSE,0,NYA,1,10/30/09,9/30/10,9/30/11,12/30/09,9/30/12,3/30/10,18.45,28.44,22.68,18.78,23.8,22.37,24.46,24.46,24.46,24.46,24.46,24.46,453158,126625,185251,110189,89247,248845,169640,169640,169640,169640,169640,169640,1036.2,1141.2,1131.42,1126.42,1440.67,1173.27,1057.08,1057.08,1057.08,1057.08,1057.08,1057.08,-24.57072772,-23.22158626,-8.544562551,16.27146361,-7.277187244,-2.698282911,167.1292148,-35.04539024,46.69004952,-25.35663759,9.202428672,-47.39035605,-1.975252583,6.559579218,10.9915995,7.957770462,7.032580316,36.28769819,0,1,0,Yes,Less Closely Related
Grubhub,Yum Brands,YUM,NYSE,1,NYA,0,12/31/04,12/31/04,12/31/04,12/31/04,12/31/04,12/31/04,16.9625,16.9625,16.9625,16.9625,16.9625,16.9625,16.3225,12.3677,8.7077,14.6184,8.8444,13.3816,1094600,1094600,1094600,1094600,1094600,1094600,2415200,1954600,1738000,1984400,4302000,2524000,1211.92,1211.92,1211.92,1211.92,1211.92,1211.92,1173.82,1111.92,879.82,1114.58,1148.08,1140.84,3.920967989,16.03527062,26.75987924,37.15161267,94.79885618,91.78802406,-54.67870156,-44.83975005,-56.63232964,-43.99877213,-37.01956272,-74.55602046,3.245812816,8.73333453,6.230496827,8.993452766,37.74635721,5.560588112,0,1,0,No,Closely Related
Grubhub,Yum Brands,YUM,NYSE,1,NYA,1,1/31/05,12/31/05,12/31/06,3/31/05,12/31/07,6/30/05,16.6641,16.8546,21.1402,18.6271,27.5182,18.7242,16.9625,16.9625,16.9625,16.9625,16.9625,16.9625,2186200,1588400,1178800,4018000,1391119,2054000,1094600,1094600,1094600,1094600,1094600,1094600,1181.27,1248.29,1418.3,1180.59,1468.36,1191.33,1211.92,1211.92,1211.92,1211.92,1211.92,1211.92,-1.75917465,9.813411938,10.38585114,-0.636109064,24.62903464,62.22962417,99.72592728,267.0747305,87.64845606,45.11236982,7.692307692,27.08925635,-2.529044821,-2.585154136,-1.698957027,3.00102317,17.02917684,21.15981253,0,1,0,Yes,Closely Related
Grubhub,"Micron Technology, Inc.",MU,NASDAQ,0,NYSE,0,12/31/04,12/31/04,12/31/04,12/31/04,12/31/04,12/31/04,12.35,12.35,12.35,12.35,12.35,12.35,11.08,13.47,9.74,12.03,31,15.31,4386000,4386000,4386000,4386000,4386000,4386000,7000400,7426100,6548500,13261900,3412600,10148300,1211.92,1211.92,1211.92,1211.92,1211.92,1211.92,1173.82,1111.92,879.82,1114.58,1148.08,1140.84,11.46209386,2.660016625,-19.33376878,-8.314773571,26.79671458,-60.16129032,-37.34643735,-66.92781577,-56.78093868,-40.93804285,-33.02282966,28.52370627,3.245812816,8.73333453,6.230496827,8.993452766,37.74635721,5.560588112,1,0,0,No,Less Closely Related
Grubhub,"Micron Technology, Inc.",MU,NASDAQ,0,NYSE,1,1/31/05,12/31/05,12/31/06,3/31/05,12/31/07,6/30/05,10.41,13.31,13.96,10.34,7.25,10.21,12.35,12.35,12.35,12.35,12.35,12.35,3692400,4105900,5577500,5088700,11674187,4950000,4386000,4386000,4386000,4386000,4386000,4386000,1181.27,1248.29,1418.3,1180.59,1468.36,1191.33,1211.92,1211.92,1211.92,1211.92,1211.92,1211.92,-15.70850202,-16.27530364,-17.32793522,7.773279352,13.03643725,-41.29554656,-15.81395349,16.02143183,12.85909713,-6.38622891,27.16598267,166.1693342,-2.529044821,-2.585154136,-1.698957027,3.00102317,17.02917684,21.15981253,1,0,0,Yes,Less Closely Related
Instacart,Koninklijke Ahold N.V. ADR,ADRNY,OTCMKTS,1,OTCQX,0,6/30/12,6/30/12,6/30/12,6/30/12,6/30/12,6/30/12,14.2614,14.2614,14.2614,14.2614,14.2614,14.2614,13.4672,15.447,14.2154,15.8614,13.1679,15.4815,39430,39430,39430,39430,39430,39430,77074,64401,114912,303394,52234,91500,1362.16,1362.16,1362.16,1362.16,1362.16,1362.16,1313.32,1320.64,1030.71,1408.47,919.32,1257.61,5.897291196,-10.08738195,-7.881019281,-7.675276753,0.323592723,8.304285421,-48.84137323,-87.00369816,-56.90710383,-38.77424264,-65.68678641,-24.51276946,3.71881948,-3.287964955,8.313388093,3.143930216,32.15744487,48.17038681,0,0,1,No,Closely Related
Instacart,Koninklijke Ahold N.V. ADR,ADRNY,OTCMKTS,1,OTCQX,1,7/30/12,6/30/13,6/30/14,9/30/12,6/30/15,12/30/12,13.847,17.139,19.9537,14.342,20.0494,15.3434,14.2614,14.2614,14.2614,14.2614,14.2614,14.2614,72601,173042,54910,82526,53174,103305,39430,39430,39430,39430,39430,39430,1385.3,1606.28,1960.23,1440.67,2063.11,1402.43,1362.16,1362.16,1362.16,1362.16,1362.16,1362.16,-2.905745579,0.565161906,7.586912926,20.17754218,39.91403369,40.5850758,84.12629977,109.2974892,161.9959422,338.858737,39.25944712,34.85670809,1.698772538,5.763640101,2.956334058,17.92153638,43.90600223,51.45871263,0,0,1,Yes,Closely Related
Instacart,Drive Shack Inc,DS,NYSE,0,NYA,0,6/30/12,6/30/12,6/30/12,6/30/12,6/30/12,6/30/12,2.8421,2.8421,2.8421,2.8421,2.8421,2.8421,2.8124,2.4518,1.1368,2.6639,0.28,1.9725,352199,352199,352199,352199,352199,352199,224810,122634,52739,851693,49663,83359,1362.16,1362.16,1362.16,1362.16,1362.16,1362.16,1313.32,1320.64,1030.71,1408.47,919.32,1257.61,1.056037548,6.689440294,44.08618504,15.91891671,150.0087966,915.0357143,56.66518393,-58.6471886,322.5086673,187.1952313,567.8150894,609.1778588,3.71881948,-3.287964955,8.313388093,3.143930216,32.15744487,48.17038681,0,1,0,No,Less Closely Related
Instacart,Drive Shack Inc,DS,NYSE,0,NYA,1,7/30/12,6/30/13,6/30/14,9/30/12,6/30/15,12/30/12,3.139,4.7326,5.1544,3.1942,4.42,3.5887,2.8421,2.8421,2.8421,2.8421,2.8421,2.8421,1340460,505919,427951,338840,760009,203746,352199,352199,352199,352199,352199,352199,1385.3,1606.28,1960.23,1440.67,2063.11,1402.43,1362.16,1362.16,1362.16,1362.16,1362.16,1362.16,10.44650083,12.38872665,26.26930791,66.51771577,81.35885437,55.51880652,280.5973328,-3.793026102,-42.15031843,43.6457798,21.50829503,115.789653,1.698772538,5.763640101,2.956334058,17.92153638,43.90600223,51.45871263,0,1,0,Yes,Less Closely Related
JustPark,JLL,JLL,NYSE,1,NYA,0,9/30/06,9/30/06,9/30/06,9/30/06,9/30/06,9/30/06,85.48,85.48,85.48,85.48,85.48,85.48,82.42,46.06,33.01,87.55,18.5,75.75,181200,181200,181200,181200,181200,181200,356600,179000,115500,2157700,72200,329400,1335.85,1335.85,1335.85,1335.85,1335.85,1335.85,1304.27,1228.81,1114.58,1270.2,995.97,1300.25,3.712691094,-2.364363221,12.84488449,85.58402084,158.9518328,362.0540541,-49.18676388,-91.60216898,-44.99089253,1.229050279,56.88311688,150.9695291,2.421277803,5.168477405,2.737935012,8.710866611,19.85232105,34.12552587,0,1,0,No,Closely Related
JustPark,JLL,JLL,NYSE,1,NYA,1,10/30/06,9/30/07,9/30/08,12/30/06,9/30/09,3/30/07,90.44,102.76,43.48,92.17,47.37,104.28,85.48,85.48,85.48,85.48,85.48,85.48,378000,429400,782714,77200,519352,309600,181200,181200,181200,181200,181200,181200,1377.93,1526.75,1166.36,1418.3,1057.08,1420.86,1335.85,1335.85,1335.85,1335.85,1335.85,1335.85,5.802526907,7.826392139,21.99344876,20.21525503,-49.13430042,-44.58352831,108.6092715,-57.39514349,70.86092715,136.9757174,331.9613687,186.6181015,3.150054273,6.172100161,6.363738444,14.29052663,-12.68780177,-20.86836097,0,1,0,Yes,Closely Related
JustPark,TJX Companies Inc,TJX,NYSE,0,NYA,0,9/30/06,9/30/06,9/30/06,9/30/06,9/30/06,9/30/06,7.0075,7.0075,7.0075,7.0075,7.0075,7.0075,6.6875,5.12,5.51,5.715,4.855,6.2725,14659200,14659200,14659200,14659200,14659200,14659200,13118800,9776800,9562400,8382000,14855200,10286000,1335.85,1335.85,1335.85,1335.85,1335.85,1335.85,1304.27,1228.81,1114.58,1270.2,995.97,1300.25,4.785046729,22.61592301,11.71781586,36.86523438,27.17785844,44.33573635,11.74192762,74.88904796,42.51604122,49.93863023,53.30042667,-1.319403307,2.421277803,5.168477405,2.737935012,8.710866611,19.85232105,34.12552587,0,1,0,No,Less Closely Related
JustPark,TJX Companies Inc,TJX,NYSE,0,NYA,1,10/30/06,9/30/07,9/30/08,12/30/06,9/30/09,3/30/07,7.2375,7.2675,7.63,7.13,9.2875,6.74,7.0075,7.0075,7.0075,7.0075,7.0075,7.0075,7297200,18509200,29052936,4956400,18963588,11936880,14659200,14659200,14659200,14659200,14659200,14659200,1377.93,1526.75,1166.36,1418.3,1057.08,1420.86,1335.85,1335.85,1335.85,1335.85,1335.85,1335.85,3.282197645,1.748127007,-3.817338566,3.710310382,8.883339279,32.53656796,-50.22102161,-66.18915084,-18.57072692,26.26337044,98.18909627,29.36304846,3.150054273,6.172100161,6.363738444,14.29052663,-12.68780177,-20.86836097,0,1,0,Yes,Less Closely Related
Lending Club,U.S. Bancorp,USB,NYSE,1,NYA,0,8/31/07,8/31/07,8/31/07,8/31/07,8/31/07,8/31/07,32.35,32.35,32.35,32.35,32.35,32.35,29.95,32.07,29.22,34.58,29.5,35.66,9699600,9699600,9699600,9699600,9699600,9699600,14476900,5795200,3855600,6569543,3703300,10320700,1473.99,1473.99,1473.99,1473.99,1473.99,1473.99,1455.28,1303.82,1220.33,1530.62,1104.24,1406.82,8.013355593,-6.448814344,-9.282108805,0.873090115,10.7118412,9.661016949,-32.99946812,47.64497317,-6.018002655,67.37299834,151.5717398,161.917749,1.28566324,-3.699807921,4.77459803,13.05164823,20.78618079,33.48456857,0,1,0,No,Closely Related
Lending Club,U.S. Bancorp,USB,NYSE,1,NYA,1,9/30/07,8/31/08,8/31/09,11/30/07,8/31/10,2/29/08,32.53,31.86,22.62,33.09,20.8,32.02,32.35,32.35,32.35,32.35,32.35,32.35,5418000,14255700,12854282,13165698,13834838,13082796,9699600,9699600,9699600,9699600,9699600,9699600,1526.75,1282.83,1020.63,1481.14,1049.33,1330.63,1473.99,1473.99,1473.99,1473.99,1473.99,1473.99,0.556414219,2.28748068,-1.020092736,-1.514683153,-30.07727975,-35.70324575,-44.14202648,35.73444266,34.87974762,46.97204008,32.52383603,42.63307765,3.579400132,0.485077918,-9.725981859,-12.96888039,-30.75733214,-28.81023616,0,1,0,Yes,Closely Related
